date,region,demand,sku
2025-01-01,North Hub,120,PKG-A
2025-01-01,South Hub,95,PKG-A
2025-01-01,East Metro,140,PKG-B
2025-01-01,West Port,88,PKG-A
2025-01-01,Central DC,210,PKG-C
2025-01-02,North Hub,118,PKG-A
2025-01-02,South Hub,102,PKG-A
2025-01-02,East Metro,135,PKG-B
2025-01-02,West Port,91,PKG-A
2025-01-02,Central DC,205,PKG-C
2025-01-03,North Hub,125,PKG-A
2025-01-03,South Hub,98,PKG-A
2025-01-03,East Metro,142,PKG-B
2025-01-03,West Port,86,PKG-A
2025-01-03,Central DC,218,PKG-C
2025-01-04,North Hub,130,PKG-A
2025-01-04,South Hub,101,PKG-A
2025-01-04,East Metro,138,PKG-B
2025-01-04,West Port,90,PKG-A
2025-01-04,Central DC,222,PKG-C
2025-01-05,North Hub,128,PKG-A
2025-01-05,South Hub,104,PKG-A
2025-01-05,East Metro,145,PKG-B
2025-01-05,West Port,93,PKG-A
2025-01-05,Central DC,230,PKG-C
2025-01-06,North Hub,132,PKG-A
2025-01-06,South Hub,99,PKG-A
2025-01-06,East Metro,148,PKG-B
2025-01-06,West Port,89,PKG-A
2025-01-06,Central DC,228,PKG-C
2025-01-07,North Hub,127,PKG-A
2025-01-07,South Hub,106,PKG-A
2025-01-07,East Metro,150,PKG-B
2025-01-07,West Port,94,PKG-A
2025-01-07,Central DC,235,PKG-C
2025-01-08,North Hub,134,PKG-A
2025-01-08,South Hub,108,PKG-A
2025-01-08,East Metro,152,PKG-B
2025-01-08,West Port,96,PKG-A
2025-01-08,Central DC,240,PKG-C
2025-01-09,North Hub,129,PKG-A
2025-01-09,South Hub,110,PKG-A
2025-01-09,East Metro,155,PKG-B
2025-01-09,West Port,97,PKG-A
2025-01-09,Central DC,238,PKG-C
2025-01-10,North Hub,136,PKG-A
2025-01-10,South Hub,112,PKG-A
2025-01-10,East Metro,158,PKG-B
2025-01-10,West Port,99,PKG-A
2025-01-10,Central DC,245,PKG-C
2025-01-11,North Hub,138,PKG-A
2025-01-11,South Hub,115,PKG-A
2025-01-11,East Metro,160,PKG-B
2025-01-11,West Port,100,PKG-A
2025-01-11,Central DC,250,PKG-C
2025-01-12,North Hub,140,PKG-A
2025-01-12,South Hub,118,PKG-A
2025-01-12,East Metro,162,PKG-B
2025-01-12,West Port,102,PKG-A
2025-01-12,Central DC,252,PKG-C
2025-01-13,North Hub,142,PKG-A
2025-01-13,South Hub,120,PKG-A
2025-01-13,East Metro,165,PKG-B
2025-01-13,West Port,105,PKG-A
2025-01-13,Central DC,255,PKG-C
2025-01-14,North Hub,145,PKG-A
2025-01-14,South Hub,122,PKG-A
2025-01-14,East Metro,168,PKG-B
2025-01-14,West Port,107,PKG-A
2025-01-14,Central DC,260,PKG-C
2025-01-15,North Hub,148,PKG-A
2025-01-15,South Hub,125,PKG-A
2025-01-15,East Metro,170,PKG-B
2025-01-15,West Port,110,PKG-A
2025-01-15,Central DC,262,PKG-C
2025-01-16,North Hub,150,PKG-A
2025-01-16,South Hub,128,PKG-A
2025-01-16,East Metro,172,PKG-B
2025-01-16,West Port,112,PKG-A
2025-01-16,Central DC,265,PKG-C
2025-01-17,North Hub,152,PKG-A
2025-01-17,South Hub,130,PKG-A
2025-01-17,East Metro,175,PKG-B
2025-01-17,West Port,115,PKG-A
2025-01-17,Central DC,268,PKG-C
2025-01-18,North Hub,155,PKG-A
2025-01-18,South Hub,132,PKG-A
2025-01-18,East Metro,178,PKG-B
2025-01-18,West Port,118,PKG-A
2025-01-18,Central DC,270,PKG-C
